year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1914,15,8.1,mw,iscgem,iscgem913984,2015-05-13T18:52:41.000Z,"Biak region, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1914,35,7.6,mw,iscgem,iscgem913990,2015-05-13T18:52:41.000Z,"southern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1914,15,7.3,mw,iscgem,iscgem914001,2015-05-13T18:52:41.000Z,"northern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1914,15,7,mw,iscgem,iscgem914008,2015-05-13T18:52:41.000Z,western Turkey,earthquake,automatic,iscgem,iscgem,,,,
1914,35,7.4,mw,iscgem,iscgem914014,2015-05-13T18:52:41.000Z,"north of Halmahera, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1915,20,7.3,mw,iscgem,iscgem913884,2015-05-13T18:52:41.000Z,"southwestern Ryukyu Islands, Japan",earthquake,automatic,iscgem,iscgem,,,,
1915,30,7.8,mw,iscgem,iscgem913898,2015-05-13T18:52:41.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1915,20,7.3,mw,iscgem,iscgem913925,2015-05-13T18:52:41.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1915,30,7,mw,iscgemsup,iscgemsup913949,2015-07-13T17:02:22.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1916,35,7.9,mw,iscgem,iscgem913746,2015-05-13T18:52:41.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1916,25,7.1,mw,iscgem,iscgem913749,2015-05-13T18:52:41.000Z,"Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1916,35,7.7,mw,iscgem,iscgem913750,2015-05-13T18:52:41.000Z,"Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1916,15,7,mw,iscgem,iscgem913755,2015-05-13T18:52:41.000Z,central Turkey,earthquake,automatic,iscgem,iscgem,,,,
1916,15,7,mw,iscgem,iscgem913761,2015-05-13T18:52:41.000Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1916,15,7.2,mw,iscgemsup,iscgemsup913768,2015-07-13T17:02:22.000Z,near the coast of Nicaragua,earthquake,automatic,iscgem,iscgem,,,,
1916,20,7,mw,iscgem,iscgem913843,2015-05-13T18:52:41.000Z,Nepal-India border region,earthquake,automatic,iscgem,iscgem,,,,
1916,15,7.3,mw,iscgem,iscgem913864,2015-05-13T18:52:41.000Z,east of the Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1917,20,7.9,mw,iscgemsup,iscgemsup913404,2015-07-13T17:02:22.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1917,15,8.2,mw,iscgem,iscgem913483,2015-05-13T18:52:41.000Z,Kermadec Islands region,earthquake,automatic,iscgem,iscgem,,,,
